"","site.name","year","slope","pvalue","sig","LTER","n"
"44","Andersen Creek at H1",2008,-2.38486131846456,0.0402095981811471,"sig","MCM",7
"45","Andersen Creek at H1",2010,-2.20611663542337,0.00659647152612104,"sig","MCM",7
"46","Andersen Creek at H1",2012,-0.660226690093731,0.239478951233942,"not sig","MCM",7
"47","Andersen Creek at H1",2013,-1.3547979343016,0.0393192758376543,"sig","MCM",4
"48","Andersen Creek at H1",2014,-6.32054034796659,0.285093878974124,"not sig","MCM",3
"49","Andersen Creek at H1",2019,-0.655072903335333,0.615971933842373,"not sig","MCM",4
"50","BK01.0M",1997,-0.239063574464052,0.242352942420195,"not sig","UMR",24
"51","BK01.0M",1998,0.206351360483048,0.456018230510755,"not sig","UMR",26
"52","BK01.0M",1999,-0.442234472570001,0.297834451044073,"not sig","UMR",25
"53","BK01.0M",2000,0.0877347457539418,0.783124443903576,"not sig","UMR",12
"54","BK01.0M",2001,-1.4306333509841,0.0340942145516403,"sig","UMR",13
"55","BK01.0M",2002,-1.09767219698071,0.0755615067427437,"not sig","UMR",9
"56","BK01.0M",2004,-0.0138482166415968,0.978178640573334,"not sig","UMR",8
"57","BK01.0M",2005,-0.905171740078629,0.175034227650394,"not sig","UMR",14
"58","BK01.0M",2006,0.129434295624217,0.817666137392318,"not sig","UMR",14
"59","BK01.0M",2007,-0.153990136922732,0.528890505502914,"not sig","UMR",16
"60","BK01.0M",2008,-0.330243800521687,0.558243541245502,"not sig","UMR",16
"61","BK01.0M",2009,-0.450603736243819,0.186782351461991,"not sig","UMR",15
"62","BK01.0M",2010,0.155574844948472,0.210493092933785,"not sig","UMR",16
"63","BK01.0M",2011,0.0612746969041768,0.809131650694751,"not sig","UMR",16
"64","BK01.0M",2012,-0.111508957476981,0.469096431492832,"not sig","UMR",16
"65","BK01.0M",2013,-0.494800806494506,0.424650605903061,"not sig","UMR",16
"66","BK01.0M",2014,-0.461549097195385,0.182083687837462,"not sig","UMR",16
"67","BK01.0M",2015,-0.0239136399976915,0.891428767156877,"not sig","UMR",16
"68","BK01.0M",2016,-0.0161317202255444,0.948081447202488,"not sig","UMR",16
"69","BK01.0M",2017,-0.207479133606545,0.62536632764132,"not sig","UMR",16
"70","BK01.0M",2018,-0.319929194912858,0.526670985407127,"not sig","UMR",16
"71","BK01.0M",2019,-0.63258116593138,0.228308718293616,"not sig","UMR",16
"72","Canada Stream at F1",1994,-3.95464050310075,0.0573463873495723,"not sig","MCM",3
"73","Canada Stream at F1",1995,-7.50545920135373,0.624555634064909,"not sig","MCM",3
"74","Canada Stream at F1",1996,-4.42355102207699,0.00574567841535016,"sig","MCM",6
"75","Canada Stream at F1",1997,-5.98513605447386,0.0422826516267108,"sig","MCM",4
"76","Canada Stream at F1",1998,-3.29395440122945,0.175795575230686,"not sig","MCM",4
"77","Canada Stream at F1",1999,-4.99638625344357,0.321351259363544,"not sig","MCM",5
"78","Canada Stream at F1",2000,-10.5007815173565,0.00782370723940017,"sig","MCM",8
"79","Canada Stream at F1",2001,-3.54685691827683,0.000542128421381444,"sig","MCM",8
"80","Canada Stream at F1",2002,-3.72412719607706,0.0119450133896404,"sig","MCM",4
"81","Canada Stream at F1",2003,-1.63032756527931,0.358169304425946,"not sig","MCM",4
"82","Canada Stream at F1",2004,-3.11767268354827,0.0450478052272893,"sig","MCM",7
"83","Canada Stream at F1",2005,-2.12129192935393,0.029380496254548,"sig","MCM",6
"84","Canada Stream at F1",2006,-3.4405354491303,0.00224261114146149,"sig","MCM",5
"85","Canada Stream at F1",2008,-3.81584576268999,0.000374726845387736,"sig","MCM",10
"86","Canada Stream at F1",2010,-0.98892077830453,0.463760857526093,"not sig","MCM",11
"87","Canada Stream at F1",2011,-2.58965617794782,0.000345747646811076,"sig","MCM",7
"88","Canada Stream at F1",2012,-1.99052373628701,0.0106775620628642,"sig","MCM",10
"89","Canada Stream at F1",2013,-3.778152683475,0.00882365261714371,"sig","MCM",7
"90","Canada Stream at F1",2014,-4.94890176333426,0.0655852895270574,"not sig","MCM",7
"91","Canada Stream at F1",2017,-1.72536678530257,0.196582504924023,"not sig","MCM",9
"92","Canada Stream at F1",2018,-3.59182681032047,0.000643273109445419,"sig","MCM",10
"93","Canada Stream at F1",2019,-6.62949032725773,0.509705233373534,"not sig","MCM",4
"94","CH00.1M",1997,-0.0204273714968137,0.954770595739123,"not sig","UMR",21
"95","CH00.1M",1998,0.05243239384973,0.927293732921844,"not sig","UMR",24
"96","CH00.1M",1999,-0.97689339213168,0.0491966894339225,"sig","UMR",23
"97","CH00.1M",2000,-0.428974839735888,0.36646488130506,"not sig","UMR",13
"98","CH00.1M",2001,-1.27858579458716,0.0676572716108743,"not sig","UMR",12
"99","CH00.1M",2002,-1.78481658646679,0.00870366396666606,"sig","UMR",10
"100","CH00.1M",2004,-3.69098334006648,0.0103031959316123,"sig","UMR",9
"101","CH00.1M",2005,-0.590307411196968,0.242908088818832,"not sig","UMR",14
"102","CH00.1M",2006,0.362616362935674,0.692521230481899,"not sig","UMR",14
"103","CH00.1M",2007,-0.284407159409519,0.586276997156144,"not sig","UMR",15
"104","CH00.1M",2008,-1.29542377113287,0.144216167698934,"not sig","UMR",16
"105","CH00.1M",2009,-0.440975534579482,0.291177735133527,"not sig","UMR",16
"106","CH00.1M",2010,0.77830354053293,0.0511741867850014,"not sig","UMR",15
"107","CH00.1M",2011,-0.267613540339232,0.608809749305554,"not sig","UMR",15
"108","CH00.1M",2012,-1.76078423370039,0.00360993196977395,"sig","UMR",16
"109","CH00.1M",2013,-2.66296406790592,8.4854956860091e-07,"sig","UMR",16
"110","CH00.1M",2014,-1.32774915520722,0.0265217608084882,"sig","UMR",15
"111","CH00.1M",2015,-0.761084617388306,0.0144717788236217,"sig","UMR",15
"112","CH00.1M",2016,-0.342168601852318,0.394455948922594,"not sig","UMR",15
"113","CH00.1M",2017,-2.04187018624559,0.000663650783881954,"sig","UMR",16
"114","CH00.1M",2018,-0.487756264356541,0.366330768148449,"not sig","UMR",16
"115","CH00.1M",2019,0.0889797079472138,0.586298076627876,"not sig","UMR",16
"116","CN00.1M",1997,0.230699785552075,0.329541887176359,"not sig","UMR",21
"117","CN00.1M",1998,-0.13480063692125,0.732897966366358,"not sig","UMR",21
"118","CN00.1M",1999,0.548269196671407,0.278869926147716,"not sig","UMR",23
"119","CN00.1M",2000,0.383940976113736,0.369729031518335,"not sig","UMR",12
"120","CN00.1M",2001,-0.284206366883876,0.549725147698474,"not sig","UMR",11
"121","CN00.1M",2002,0.412015241510933,0.297373397801867,"not sig","UMR",10
"122","CN00.1M",2004,0.823175697404159,0.177332163616964,"not sig","UMR",9
"123","CN00.1M",2005,-0.499829145819147,0.502850187887967,"not sig","UMR",14
"124","CN00.1M",2006,0.147903585688817,0.737260194477316,"not sig","UMR",14
"125","CN00.1M",2007,0.228558923924931,0.636899447357682,"not sig","UMR",16
"126","CN00.1M",2008,-0.350634486640519,0.449604138872706,"not sig","UMR",15
"127","CN00.1M",2009,0.0327140096091587,0.865382238389336,"not sig","UMR",16
"128","CN00.1M",2010,0.189366647801308,0.484597993214451,"not sig","UMR",15
"129","CN00.1M",2011,0.52542763432212,0.242094155909842,"not sig","UMR",15
"130","CN00.1M",2012,-0.164352539570672,0.680827729139006,"not sig","UMR",16
"131","CN00.1M",2013,0.911184028499326,0.229756772037347,"not sig","UMR",16
"132","CN00.1M",2014,0.463563751913914,0.606292082863709,"not sig","UMR",14
"133","CN00.1M",2015,0.832319998047688,0.00383949235860114,"sig","UMR",16
"134","CN00.1M",2016,0.717230287644322,0.0298771596318526,"sig","UMR",16
"135","CN00.1M",2017,-1.45826771462759,0.057612655840685,"not sig","UMR",16
"136","CN00.1M",2018,-0.335564925226171,0.743882531247309,"not sig","UMR",16
"137","CN00.1M",2019,-0.335284293761924,0.539173765515441,"not sig","UMR",15
"138","CU11.6M",1997,-0.0125032641915428,0.9581136808255,"not sig","UMR",23
"139","CU11.6M",1998,1.13388186266184,0.218198405586232,"not sig","UMR",24
"140","CU11.6M",1999,-1.95350345611346,0.4716017408998,"not sig","UMR",21
"141","CU11.6M",2000,0.905201522703023,0.020591180523411,"sig","UMR",12
"142","CU11.6M",2001,0.625748254843401,0.446646502750457,"not sig","UMR",13
"143","CU11.6M",2002,-0.0752470955522989,0.852546003145039,"not sig","UMR",10
"144","CU11.6M",2004,3.01448749389559,0.0312441697790209,"sig","UMR",9
"145","CU11.6M",2005,-0.0375222478961743,0.891154633825478,"not sig","UMR",14
"146","CU11.6M",2006,-0.132540055974376,0.805780979259045,"not sig","UMR",14
"147","CU11.6M",2007,-3.63443406368784,0.0834165369382675,"not sig","UMR",14
"148","CU11.6M",2008,1.33588714424076,0.640170529110571,"not sig","UMR",13
"149","CU11.6M",2009,0.827255034916,0.714176337876482,"not sig","UMR",14
"150","CU11.6M",2010,0.31391989802061,0.85411500420526,"not sig","UMR",13
"151","CU11.6M",2011,-0.755801816202386,0.4084710309794,"not sig","UMR",14
"152","CU11.6M",2012,-0.748386758851548,0.542814406209279,"not sig","UMR",13
"153","CU11.6M",2013,1.39950546836703,0.598551860291011,"not sig","UMR",14
