"","site.name","year","slope","pvalue","LTER","n","sig","sig_slopes"
"67","Canada Stream at F1",2013,-3.778152683475,0.00882365261714371,"MCM",7,"sig",-3.778152683475
"68","Canada Stream at F1",2014,-4.94890176333426,0.0655852895270574,"MCM",7,"sig",-4.94890176333426
"69","Canada Stream at F1",2017,-1.72536678530257,0.196582504924023,"MCM",9,"not sig",NA
"70","Canada Stream at F1",2018,-3.59182681032047,0.00064327310944541,"MCM",10,"sig",-3.59182681032047
"71","Canada Stream at F1",2019,-6.62949032725773,0.509705233373534,"MCM",4,"not sig",NA
"72","Green Creek at F9",1995,-4.25842670919682,0.235604892251629,"MCM",4,"not sig",NA
"73","Green Creek at F9",1996,-1.19355389759157,0.524397869599587,"MCM",5,"not sig",NA
"74","Green Creek at F9",1997,-3.22916263292561,0.507673431812972,"MCM",3,"not sig",NA
"75","Green Creek at F9",1998,-5.30367982369717,0.0200164254079111,"MCM",5,"sig",-5.30367982369717
"76","Green Creek at F9",1999,-2.71997236709785,0.0446144770766147,"MCM",7,"sig",-2.71997236709785
"77","Green Creek at F9",2002,-3.27017158186722,0.00927756962980705,"MCM",4,"sig",-3.27017158186722
"78","Green Creek at F9",2003,-2.65064647605781,0.00881185437630436,"MCM",6,"sig",-2.65064647605781
"79","Green Creek at F9",2004,-4.59278061686057,0.00972824026225668,"MCM",7,"sig",-4.59278061686057
"80","Green Creek at F9",2005,-1.81297770773958,0.0461143279834565,"MCM",7,"sig",-1.81297770773958
"81","Green Creek at F9",2006,0.218389242241849,0.5194826555118,"MCM",4,"not sig",NA
"82","Green Creek at F9",2007,-1.61522280739113,0.0245192757207095,"MCM",7,"sig",-1.61522280739113
"83","Green Creek at F9",2008,-2.19582887016606,0.0398499668084033,"MCM",9,"sig",-2.19582887016606
"84","Green Creek at F9",2009,-3.87506706552928,0.00361296245719159,"MCM",11,"sig",-3.87506706552928
"85","Green Creek at F9",2010,-0.78283427065338,0.372080411395933,"MCM",10,"not sig",NA
"86","Green Creek at F9",2011,-1.08363441172291,0.127655882404934,"MCM",10,"not sig",NA
"87","Green Creek at F9",2012,-3.62870970850493,0.0424906692283924,"MCM",6,"sig",-3.62870970850493
"88","Green Creek at F9",2014,-4.10925485612069,0.0666813221395895,"MCM",6,"sig",-4.10925485612069
"89","Green Creek at F9",2015,-4.94455371727199,0.00149622890742835,"MCM",9,"sig",-4.94455371727199
"90","Green Creek at F9",2016,-4.57035253699185,0.00726894852317928,"MCM",7,"sig",-4.57035253699185
"91","Green Creek at F9",2017,-6.18574177815691,0.00314197748850928,"MCM",7,"sig",-6.18574177815691
"92","Green Creek at F9",2018,-0.180828061175902,0.564448638616695,"MCM",10,"not sig",NA
"93","Green Creek at F9",2019,-6.36859196043344,0.00528983103117099,"MCM",5,"sig",-6.36859196043344
"94","Imnavait Weir",1994,-3.13141673899134,3.472581869286e-06,"ARC",29,"sig",-3.13141673899134
"95","Imnavait Weir",2002,1.96416310735298,0.013104934340353,"ARC",33,"sig",1.96416310735298
"96","Imnavait Weir",2003,0.388325546747573,0.290123464378634,"ARC",96,"not sig",NA
"97","Imnavait Weir",2004,0.294801319449218,0.111221336852588,"ARC",99,"not sig",NA
"98","Imnavait Weir",2005,-0.814152869781224,0.0764942700643513,"ARC",45,"sig",-0.814152869781224
"99","Imnavait Weir",2006,0.528929840111794,0.165215260268048,"ARC",61,"not sig",NA
"100","Imnavait Weir",2008,-1.02552041889598,0.0818362819196521,"ARC",73,"sig",-1.02552041889598
"101","Imnavait Weir",2009,0.451094466182678,0.28978598955594,"ARC",41,"not sig",NA
"102","Kolyma",2004,-2.32545784095263,0.00027496049231626,"GRO",7,"sig",-2.32545784095263
"103","Kolyma",2005,-6.00018498541613,0.0076971665752426,"GRO",7,"sig",-6.00018498541613
"104","Kolyma",2006,-4.5906506559951,NA,"GRO",2,NA,NA
"105","Kolyma",2009,0.0622873561316251,0.571898908659626,"GRO",12,"not sig",NA
"106","Kolyma",2010,0.517769629108056,0.27865970231731,"GRO",10,"not sig",NA
"107","Kolyma",2011,-0.283540427634115,0.175485103522257,"GRO",10,"not sig",NA
"108","Kolyma",2012,-5.51336092683597,0.279079925961317,"GRO",4,"not sig",NA
"109","Kolyma",2013,-8.45622851983843,0.0216076504294318,"GRO",5,"sig",-8.45622851983843
"110","Kolyma",2014,-3.06650563037022,0.0328007009600194,"GRO",6,"sig",-3.06650563037022
"111","Kolyma",2015,-7.61128646554789,0.00281728605610134,"GRO",6,"sig",-7.61128646554789
"112","Kolyma",2016,-5.11366882421083,0.0492991811948084,"GRO",6,"sig",-5.11366882421083
"113","Kolyma",2017,-2.45817823083173,0.125074653425397,"GRO",6,"not sig",NA
"114","Kolyma",2018,-8.9835290713855,0.00163146918319349,"GRO",5,"sig",-8.9835290713855
"115","Kolyma",2019,-7.1141129288347,0.0382060009842239,"GRO",4,"sig",-7.1141129288347
"116","Lawson Creek at B3",1996,-0.0892482004824789,0.299701140509614,"MCM",3,"not sig",NA
"117","Lawson Creek at B3",1997,-1.51673457899977,0.0273738632493688,"MCM",5,"sig",-1.51673457899977
"118","Lawson Creek at B3",1998,-5.16683154918249,0.172115294820544,"MCM",4,"not sig",NA
"119","Lawson Creek at B3",1999,-1.93239578512538,0.030910887170615,"MCM",5,"sig",-1.93239578512538
"120","Lawson Creek at B3",2001,-1.56123473857351,0.0438708741792249,"MCM",6,"sig",-1.56123473857351
"121","Lawson Creek at B3",2002,-1.81879505888906,0.034827834128556,"MCM",6,"sig",-1.81879505888906
"122","Lawson Creek at B3",2003,-2.23582579148975,0.267221236986904,"MCM",5,"not sig",NA
"123","Lawson Creek at B3",2004,-1.7151233140296,0.0513947522551909,"MCM",7,"sig",-1.7151233140296
"124","Lawson Creek at B3",2005,-2.06243399150317,0.00970762551513839,"MCM",5,"sig",-2.06243399150317
"125","Lawson Creek at B3",2006,-0.885157375838328,0.244895779134165,"MCM",5,"not sig",NA
"126","Lawson Creek at B3",2008,-2.13344962641699,0.0234389253054243,"MCM",8,"sig",-2.13344962641699
"127","Lawson Creek at B3",2011,-0.440355021765009,0.647384858144814,"MCM",5,"not sig",NA
"128","Lawson Creek at B3",2012,-1.3806793336384,0.0273752856242246,"MCM",7,"sig",-1.3806793336384
"129","Lawson Creek at B3",2013,-0.281953575352886,0.349032864486345,"MCM",3,"not sig",NA
"130","Lawson Creek at B3",2014,-2.14327591412427,0.0533394286444844,"MCM",7,"sig",-2.14327591412427
"131","Lawson Creek at B3",2015,-2.10479426681453,0.00236576559261928,"MCM",8,"sig",-2.10479426681453
"132","Lawson Creek at B3",2016,0.0354565540381714,0.977146977212779,"MCM",6,"not sig",NA
"133","Lawson Creek at B3",2019,-0.700114785071212,0.36383225799492,"MCM",4,"not sig",NA
