Date,Si,site.name
8/31/1989,0.449115231,ALBION
9/14/1989,0.461276252,ALBION
9/28/1989,0.346771669,ALBION
10/26/1989,0.908987208,ALBION
12/28/1989,1.184702561,ALBION
2/7/1990,1.124880446,ALBION
3/27/1990,1.203884958,ALBION
4/25/1990,1.222561815,ALBION
5/10/1990,1.157600054,ALBION
5/18/1990,1.152460407,ALBION
5/29/1990,0.928618972,ALBION
5/31/1990,1.009926495,ALBION
6/7/1990,0.754292274,ALBION
6/21/1990,0.521547735,ALBION
7/5/1990,0.390697391,ALBION
7/19/1990,0.465938445,ALBION
8/2/1990,0.43276947,ALBION
8/16/1990,0.543061228,ALBION
8/30/1990,0.566428364,ALBION
9/13/1990,0.438835938,ALBION
10/4/1990,0.53837095,ALBION
11/1/1990,0.680455494,ALBION
11/29/1990,0.562692993,ALBION
12/28/1990,0.587913772,ALBION
2/1/1991,1.08747056,ALBION
3/1/1991,1.042252905,ALBION
3/29/1991,1.050116845,ALBION
5/3/1991,1.25148988,ALBION
5/17/1991,1.746075535,ALBION
5/24/1991,1.954469945,ALBION
5/31/1991,1.612388555,ALBION
6/6/1991,1.575877405,ALBION
6/13/1991,1.531502315,ALBION
6/27/1991,1.011920565,ALBION
7/11/1991,0.654673005,ALBION
7/23/1991,0.602433975,ALBION
8/8/1991,0.554688625,ALBION
8/22/1991,0.591199775,ALBION
9/5/1991,0.700171515,ALBION
9/19/1991,0.802964445,ALBION
10/3/1991,0.966422055,ALBION
10/24/1991,1.224808655,ALBION
10/31/1991,1.177625015,ALBION
11/28/1991,1.03017614,ALBION
5/28/1992,2.05698202,ALBION
6/4/1992,2.48893701,ALBION
6/11/1992,2.5220779,ALBION
6/18/1992,2.888031965,ALBION
6/25/1992,1.166952525,ALBION
7/2/1992,0.99085644,ALBION
7/9/1992,0.683881925,ALBION
7/23/1992,0.98186908,ALBION
8/4/1992,0.916991575,ALBION
8/13/1992,1.065844725,ALBION
8/27/1992,0.87402076,ALBION
9/10/1992,0.970915735,ALBION
9/24/1992,0.979903095,ALBION
10/8/1992,0.825994555,ALBION
10/22/1992,0.765891585,ALBION
11/12/1992,0.90210626,ALBION
11/26/1992,0.85604604,ALBION
12/10/1992,3.28094811,ALBION
12/29/1992,3.578935265,ALBION
1/5/1993,4.954001345,ALBION
1/29/1993,2.468996305,ALBION
3/1/1993,4.026056425,ALBION
3/26/1993,1.412981505,ALBION
4/30/1993,1.98901511,ALBION
5/12/1993,1.92891214,ALBION
5/20/1993,1.755062895,ALBION
5/27/1993,1.689904535,ALBION
6/3/1993,1.71995602,ALBION
6/10/1993,1.99800247,ALBION
6/17/1993,1.7300668,ALBION
6/24/1993,1.48010585,ALBION
7/1/1993,1.75309691,ALBION
7/8/1993,2.02103258,ALBION
7/15/1993,0.999001235,ALBION
7/22/1993,0.48700257,ALBION
7/29/1993,0.73808694,ALBION
8/5/1993,0.165985305,ALBION
8/12/1993,0.658604975,ALBION
8/19/1993,0.55103751,ALBION
8/26/1993,0.456951085,ALBION
9/2/1993,0.28759552,ALBION
9/9/1993,0.39488213,ALBION
