"Year","Discharge","Conc_mgL","FNConc_mgL","Flux_106_kg_y","FNFlux_106_kg_y","site"
2011,1355,4.05,3.77,178.9,132,"LM00.5M"
2012,197,3.14,3.8,21.7,132,"LM00.5M"
2013,1470,3.63,3.99,185.1,134,"LM00.5M"
2014,659,3.9,4.23,89,138,"LM00.5M"
2015,1375,4.51,4.32,192.2,139,"LM00.5M"
2016,845,4.73,4.28,121.5,139,"LM00.5M"
2017,688,4.07,4.18,89.1,137,"LM00.5M"
2018,510,3.62,4.08,65.9,135,"LM00.5M"
2019,2367,4.86,3.98,313,133,"LM00.5M"
2002,139,4.94,4.93,20.8,49.2,"LMP73"
2003,264,5.13,5.1,42.4,51,"LMP73"
2004,309,5.51,5.27,50.1,52.8,"LMP73"
2005,355,5.42,5.43,59.8,54.4,"LMP73"
2006,570,5.63,5.6,95,56.1,"LMP73"
2007,432,5.74,5.76,75.4,57.7,"LMP73"
2008,387,5.94,5.92,73.5,59.4,"LMP73"
2009,424,6.19,6.06,83.3,60.9,"LMP73"
2010,413,5.88,6.14,77.1,62,"LMP73"
2011,289,6.22,6.13,56,62.5,"LMP73"
2012,277,6.07,6.06,59.1,62.6,"LMP73"
2013,280,6.24,5.99,56.4,62.5,"LMP73"
2014,262,6.01,5.92,51.6,62.5,"LMP73"
2015,233,5.79,5.85,47.7,62.4,"LMP73"
2016,187,5.31,5.78,40.7,62.3,"LMP73"
2017,272,5.64,5.7,52.9,62.2,"LMP73"
1997,253685,4.41,4.45,35470,38461,"M078.0B"
1998,273485,4.62,4.49,40737,40544,"M078.0B"
1999,283614,4.76,4.56,44106,39941,"M078.0B"
2005,198134,3.73,4.19,25230,36082,"M078.0B"
2006,134624,3.39,4.17,14417,35606,"M078.0B"
2007,211778,3.91,4.15,26481,35344,"M078.0B"
2008,336475,4.53,4.15,48919,35323,"M078.0B"
2009,269411,4.23,4.13,36040,35170,"M078.0B"
2010,396945,4.88,4.1,61245,34882,"M078.0B"
2011,360186,4.59,4.08,51657,34665,"M078.0B"
2012,163884,3.67,4.08,19428,34586,"M078.0B"
2013,241809,3.69,4.07,30258,34521,"M078.0B"
2014,214306,3.85,4.05,26972,34312,"M078.0B"
2015,264436,4.2,4.03,35884,34106,"M078.0B"
2016,311795,4.37,4.02,45072,33979,"M078.0B"
2017,281026,4.21,4.01,37027,33912,"M078.0B"
2018,242960,4.11,4.01,31779,33883,"M078.0B"
2019,482274,4.82,4.01,71153,33870,"M078.0B"
1997,232981,4.9,4.83,37043,42362,"M241.4K"
1998,250416,5.1,4.72,42192,41677,"M241.4K"
1999,267532,5.28,4.63,47198,41087,"M241.4K"
2000,137217,3.05,4.57,14566,40657,"M241.4K"
2001,224587,4.07,4.53,34243,40481,"M241.4K"
2002,191432,3.75,4.57,25780,40880,"M241.4K"
2003,130602,2.81,4.73,12625,42317,"M241.4K"
2004,179037,3.79,4.93,24327,43543,"M241.4K"
2005,178911,4.07,4.87,27291,42466,"M241.4K"
2006,123008,2.63,4.64,10264,39791,"M241.4K"
2007,195445,3.56,4.37,23221,37141,"M241.4K"
2008,306109,4.81,4.17,49551,35330,"M241.4K"
2009,245560,4.09,4.02,32641,34019,"M241.4K"
2010,368463,5.64,3.89,66224,32869,"M241.4K"
2011,323153,4.72,3.81,48002,32023,"M241.4K"
2012,149042,3.05,3.83,14974,32075,"M241.4K"
2013,219048,3.02,3.94,25316,32884,"M241.4K"
2014,201606,3.41,4.02,24442,33748,"M241.4K"
2015,243778,4.1,4.02,33861,33817,"M241.4K"
2016,283011,5.31,3.95,55867,33351,"M241.4K"
2017,259852,4.26,3.86,35187,32777,"M241.4K"
2018,223746,3.73,3.77,27453,32165,"M241.4K"
2019,447022,6.05,3.68,80412,31542,"M241.4K"
1997,65954,5.71,5.44,13546,12732,"M556.4A"
1998,55959,5.14,5.55,10390,13017,"M556.4A"
1999,60518,5.54,5.66,10792,13259,"M556.4A"
2000,46605,4.63,5.72,7202,13372,"M556.4A"
2001,66722,5.61,5.7,15685,13274,"M556.4A"
2002,57679,5.27,5.53,9982,12695,"M556.4A"
2003,50224,4.36,5.22,7359,11703,"M556.4A"
2004,48394,4.31,5.17,7351,11439,"M556.4A"
2005,47555,4.39,5.22,6579,11441,"M556.4A"
2006,48847,4.46,5.19,7075,11217,"M556.4A"
2007,42588,4.02,5.12,6006,11038,"M556.4A"
2008,63435,4.92,5.08,10614,10939,"M556.4A"
2009,41336,3.88,5.06,5101,10843,"M556.4A"
2010,61587,5.45,5.05,11330,10768,"M556.4A"
2011,90242,6.73,5.05,19101,10674,"M556.4A"
2012,43530,3.74,4.96,5344,10449,"M556.4A"
2013,57391,3.51,4.82,7962,10195,"M556.4A"
2014,69418,4.67,4.64,10847,9810,"M556.4A"
2015,48699,4.29,4.49,6445,9459,"M556.4A"
2016,70489,5.38,4.42,12656,9260,"M556.4A"
2017,82688,5.79,4.39,15012,9167,"M556.4A"
2018,73464,5.28,4.39,12150,9102,"M556.4A"
2019,109121,6.17,4.4,20074,9064,"M556.4A"
1997,46728,5.49,5.15,8171,6396,"M701.1B"
1998,32208,5.01,5.2,5083,6437,"M701.1B"
1999,35499,5.29,5.25,5728,6475,"M701.1B"
2000,23967,4.85,5.29,3614,6505,"M701.1B"
2001,46648,5.35,5.33,7991,6536,"M701.1B"
2002,38544,5.58,5.36,6753,6536,"M701.1B"
2003,33680,5.25,5.38,5553,6501,"M701.1B"
2004,26532,5.13,5.45,4121,6538,"M701.1B"
2005,31363,5.37,5.57,5066,6688,"M701.1B"
2006,33021,5.42,5.69,5665,6844,"M701.1B"
2007,21760,5.08,5.77,3343,6974,"M701.1B"
2008,30986,5.53,5.81,5255,7037,"M701.1B"
2009,21508,4.99,5.78,3238,7003,"M701.1B"
2010,36607,5.8,5.71,6881,6920,"M701.1B"
2011,59195,6.48,5.63,11945,6810,"M701.1B"
2012,28178,5.04,5.53,4295,6683,"M701.1B"
2013,31880,4.87,5.43,4830,6587,"M701.1B"
2014,45645,5.51,5.37,7869,6495,"M701.1B"
2015,28933,5.28,5.35,4694,6431,"M701.1B"
2016,45105,5.88,5.34,8440,6382,"M701.1B"
2017,49862,5.97,5.35,9246,6361,"M701.1B"
2018,46585,5.87,5.37,8398,6350,"M701.1B"
2019,67585,6.2,5.4,12228,6352,"M701.1B"
1997,28904,6.06,6.07,5444,4755,"M764.3A"
1998,19832,5.88,6.07,3483,4774,"M764.3A"
1999,23462,5.99,6.07,4246,4792,"M764.3A"
2000,14373,5.78,6.07,2513,4808,"M764.3A"
2001,31148,6.17,6.08,6099,4829,"M764.3A"
2002,21560,6.06,6.09,4166,4845,"M764.3A"
2003,20137,5.96,6.11,3680,4864,"M764.3A"
2004,15689,5.98,6.21,2874,4935,"M764.3A"
2005,21555,6.27,6.42,4046,5087,"M764.3A"
2006,22800,6.5,6.63,4504,5202,"M764.3A"
2007,14414,6.35,6.73,2591,5250,"M764.3A"
2008,20322,6.53,6.75,3920,5243,"M764.3A"
2009,15532,6.24,6.71,2876,5228,"M764.3A"
2010,25922,6.82,6.66,5542,5195,"M764.3A"
2011,43643,7.31,6.56,9766,5130,"M764.3A"
2012,19282,6.11,6.44,3491,5040,"M764.3A"
2013,19843,5.95,6.31,3527,4958,"M764.3A"
2014,31022,6.33,6.25,5930,4880,"M764.3A"
2015,19135,6.27,6.28,3670,4851,"M764.3A"
2016,29886,6.67,6.33,6327,4839,"M764.3A"
2017,31804,6.74,6.39,6591,4852,"M764.3A"
2018,34004,6.81,6.48,7026,4872,"M764.3A"
2019,45491,6.95,6.58,8985,4902,"M764.3A"
1997,28904,5.94,5.89,5622,4847,"M786.2C"
1998,19832,5.66,5.91,3504,4875,"M786.2C"
1999,23462,5.89,5.94,4293,4906,"M786.2C"
2000,14373,5.56,5.97,2476,4934,"M786.2C"
2001,31148,6.07,6,6632,4971,"M786.2C"
2002,21560,6,6.03,4187,5001,"M786.2C"
2003,20137,5.89,6.07,3756,5033,"M786.2C"
2004,15689,5.77,6.14,2878,5075,"M786.2C"
2005,21555,6.12,6.28,4070,5175,"M786.2C"
2006,22800,6.4,6.47,4602,5302,"M786.2C"
2007,14414,6.09,6.61,2624,5394,"M786.2C"
2008,20322,6.4,6.63,4059,5385,"M786.2C"
2009,15532,6.03,6.56,2875,5319,"M786.2C"
2010,25922,6.56,6.47,5414,5238,"M786.2C"
2011,43643,7.23,6.4,9930,5163,"M786.2C"
2012,19282,6,6.34,3552,5098,"M786.2C"
2013,19843,5.95,6.27,3645,5042,"M786.2C"
2014,31022,6.28,6.23,6117,4961,"M786.2C"
2015,19135,6.16,6.27,3637,4926,"M786.2C"
2016,29886,6.64,6.35,6341,4931,"M786.2C"
2017,31804,6.71,6.45,6630,4966,"M786.2C"
2018,34004,6.85,6.57,7215,5010,"M786.2C"
2019,45491,7,6.7,9255,5061,"M786.2C"
2002,0.1912,10.27,10.3,0.0538,0.0446,"MARTINELLI"
2003,0.1472,10.4,10.3,0.0412,0.0445,"MARTINELLI"
2004,0.1521,10.14,10.2,0.0432,0.0444,"MARTINELLI"
2005,0.0976,10.28,10.2,0.0287,0.0443,"MARTINELLI"
2006,0.191,10.09,10.2,0.0519,0.0442,"MARTINELLI"
2007,0.1609,10.31,10.1,0.0453,0.0441,"MARTINELLI"
2008,0.2031,9.82,10.1,0.0577,0.044,"MARTINELLI"
2009,0.1521,10.09,10.1,0.042,0.0439,"MARTINELLI"
2010,0.1436,9.84,10.1,0.0408,0.0439,"MARTINELLI"
2011,0.1988,9.82,10,0.0552,0.0439,"MARTINELLI"
2012,0.192,9.85,10,0.0523,0.044,"MARTINELLI"
2013,0.1502,9.93,10,0.0432,0.044,"MARTINELLI"
2014,0.1559,10.04,10,0.0427,0.044,"MARTINELLI"
2015,0.1021,10.37,10.1,0.0297,0.0441,"MARTINELLI"
2016,0.1436,10.23,10.1,0.0407,0.0444,"MARTINELLI"
2017,0.1975,9.98,10.1,0.0557,0.0446,"MARTINELLI"
2018,0.1276,10.3,10.2,0.0375,0.0448,"MARTINELLI"
2019,0.1241,10.46,10.2,0.0342,0.0451,"MARTINELLI"
1989,65.6,19.3,20.1,35.9,30.3,"MPR"
1990,52.4,20.3,20.3,28.6,30.4,"MPR"
1991,46.9,21,20.4,26.7,30.4,"MPR"
1992,58.7,20,20.6,31.5,30.3,"MPR"
1993,58.7,20,20.7,31.9,30.3,"MPR"
1994,33.1,22.9,20.8,21.1,30.3,"MPR"
1995,45.9,21.5,20.9,26.7,30.2,"MPR"
1996,55.4,21.2,20.7,30,29.9,"MPR"
1997,49,20.3,20.4,27.9,29.6,"MPR"
1998,63.1,20.1,20.2,32.2,29.3,"MPR"
1999,59.7,19.9,20.2,31.3,29.2,"MPR"
2000,63,20,20.3,33.1,29.3,"MPR"
2001,37.5,21.9,20.3,22.7,29.3,"MPR"
2002,61.7,20,20.2,31.1,29.2,"MPR"
2003,52.7,20.4,20.1,27,29.1,"MPR"
2004,78.9,18.9,20,36.1,28.9,"MPR"
2005,66.9,19.1,19.9,33.3,28.8,"MPR"
2006,60,19.2,19.9,31.2,28.7,"MPR"
2007,35.5,21.6,19.9,21.1,28.6,"MPR"
2008,53.6,20,19.9,27.6,28.5,"MPR"
2009,60.2,19,19.9,31.3,28.5,"MPR"
2010,73.5,18.6,20,34.6,28.5,"MPR"
2011,58.1,19.8,20,29.1,28.6,"MPR"
2012,59.7,19.4,20,30.9,28.7,"MPR"
2013,61.6,18.9,19.9,32.3,28.8,"MPR"
2014,47.8,20.4,19.9,26.4,28.8,"MPR"
2015,38.7,22.2,19.9,20.7,28.8,"MPR"
2016,64.8,19.6,19.8,30.4,28.8,"MPR"
1997,1076,4.25,4.49,141,218,"MQ02.1M"
1998,1521,4.65,4.52,219,219,"MQ02.1M"
1999,1600,4.69,4.54,235,220,"MQ02.1M"
2000,997,4.44,4.56,141.2,221,"MQ02.1M"
2001,1194,4.56,4.58,167.8,221,"MQ02.1M"
2002,1502,4.64,4.58,213.4,221,"MQ02.1M"
2003,895,4.36,4.56,125.4,221,"MQ02.1M"
2004,1366,4.5,4.53,194.4,220,"MQ02.1M"
2005,672,4.02,4.5,86.6,217,"MQ02.1M"
2006,680,4.14,4.47,87.6,215,"MQ02.1M"
2007,1254,4.44,4.43,172.8,213,"MQ02.1M"
2008,3191,4.62,4.41,439.8,213,"MQ02.1M"
2009,1643,4.54,4.42,231.4,215,"MQ02.1M"
2010,2651,4.7,4.41,382.3,214,"MQ02.1M"
2011,1715,4.57,4.39,241.6,213,"MQ02.1M"
2012,1049,4.19,4.37,144.4,212,"MQ02.1M"
2013,1448,4.2,4.33,185.1,211,"MQ02.1M"
2014,1446,4.2,4.26,189.2,210,"MQ02.1M"
2015,1017,3.99,4.15,128.8,206,"MQ02.1M"
2016,1782,4.29,4.04,247.9,202,"MQ02.1M"
2017,1643,4.22,3.92,220.8,198,"MQ02.1M"
2018,1790,4.01,3.81,238.1,194,"MQ02.1M"
2019,2916,4.2,3.7,391.9,190,"MQ02.1M"
1994,43.54,1.42,1.36,1.706,20,"Onyx River at Lake Vanda Weir"
1995,138.62,1.33,1.36,5.553,20,"Onyx River at Lake Vanda Weir"
1996,111.95,1.4,1.36,4.388,20,"Onyx River at Lake Vanda Weir"
1997,51.19,1.42,1.36,2.051,19.9,"Onyx River at Lake Vanda Weir"
1998,278.8,1.37,1.35,10.659,19.9,"Onyx River at Lake Vanda Weir"
1999,179.59,1.33,1.35,7.191,19.9,"Onyx River at Lake Vanda Weir"
2000,38.07,1.41,1.35,1.574,19.9,"Onyx River at Lake Vanda Weir"
2001,3852.26,1.26,1.35,134.935,20,"Onyx River at Lake Vanda Weir"
2002,122.28,1.38,1.35,4.872,20.1,"Onyx River at Lake Vanda Weir"
2003,55.34,1.4,1.35,2.238,20.2,"Onyx River at Lake Vanda Weir"
2004,296.62,1.29,1.34,11.715,20.2,"Onyx River at Lake Vanda Weir"
2005,223.66,1.33,1.34,8.877,20.2,"Onyx River at Lake Vanda Weir"
2006,266.57,1.32,1.33,10.426,20.2,"Onyx River at Lake Vanda Weir"
2007,207.53,1.35,1.33,8.115,20.1,"Onyx River at Lake Vanda Weir"
2008,1850.04,1.29,1.32,66.714,20,"Onyx River at Lake Vanda Weir"
2009,159.12,1.32,1.31,6.327,20,"Onyx River at Lake Vanda Weir"
2010,1600.93,1.29,1.31,59.865,19.9,"Onyx River at Lake Vanda Weir"
2011,796.69,1.29,1.29,28.843,19.8,"Onyx River at Lake Vanda Weir"
2012,253.62,1.27,1.28,9.616,19.6,"Onyx River at Lake Vanda Weir"
2013,871.91,1.22,1.26,30.998,19.4,"Onyx River at Lake Vanda Weir"
2014,127.22,1.27,1.25,4.615,19.2,"Onyx River at Lake Vanda Weir"
2015,1478.89,1.15,1.23,52.242,19,"Onyx River at Lake Vanda Weir"
2016,17.21,1.26,1.22,0.623,18.8,"Onyx River at Lake Vanda Weir"
2017,6.91,1.28,1.2,0.25,18.7,"Onyx River at Lake Vanda Weir"
1994,93.9,0.753,0.755,2.11,9.87,"Onyx River at Lower Wright Weir"
1995,168.7,0.731,0.754,3.85,9.89,"Onyx River at Lower Wright Weir"
1996,133.6,0.764,0.753,3.08,9.91,"Onyx River at Lower Wright Weir"
1997,47.3,0.745,0.752,1.09,9.94,"Onyx River at Lower Wright Weir"
1998,304.8,0.741,0.751,7.05,9.97,"Onyx River at Lower Wright Weir"
1999,169.2,0.749,0.751,3.93,10.01,"Onyx River at Lower Wright Weir"
2000,49.5,0.741,0.751,1.13,10.06,"Onyx River at Lower Wright Weir"
2001,3086.1,0.74,0.751,72.07,10.12,"Onyx River at Lower Wright Weir"
2002,94.4,0.762,0.75,2.24,10.17,"Onyx River at Lower Wright Weir"
2003,206.5,0.737,0.749,4.75,10.21,"Onyx River at Lower Wright Weir"
2004,275.7,0.748,0.746,6.24,10.23,"Onyx River at Lower Wright Weir"
2005,224.9,0.75,0.742,5.27,10.23,"Onyx River at Lower Wright Weir"
2006,236.3,0.71,0.737,5.56,10.22,"Onyx River at Lower Wright Weir"
2007,192.7,0.724,0.733,4.42,10.2,"Onyx River at Lower Wright Weir"
2008,1262.2,0.749,0.732,30.19,10.2,"Onyx River at Lower Wright Weir"
2009,166.4,0.733,0.73,3.81,10.18,"Onyx River at Lower Wright Weir"
2010,1394.8,0.748,0.728,32.8,10.17,"Onyx River at Lower Wright Weir"
2011,414.3,0.74,0.726,9.83,10.15,"Onyx River at Lower Wright Weir"
2012,218,0.727,0.722,4.87,10.1,"Onyx River at Lower Wright Weir"
2013,622,0.731,0.718,14.65,10.06,"Onyx River at Lower Wright Weir"
2014,67.1,0.721,0.716,1.53,10.03,"Onyx River at Lower Wright Weir"
2015,497.2,0.72,0.711,11.46,9.99,"Onyx River at Lower Wright Weir"
2016,297,0.721,0.708,6.85,9.97,"Onyx River at Lower Wright Weir"
2017,174,0.697,0.705,3.9,9.95,"Onyx River at Lower Wright Weir"
1994,12.45986,1.214,1.22,0.413127,0.719,"Priscu Stream at B1"
1994,8.01985,1.229,1.22,0.277782,0.683,"Priscu Stream at B1"
1995,12.51501,1.185,1.22,0.423955,0.69,"Priscu Stream at B1"
1996,13.11501,1.231,1.21,0.439912,0.697,"Priscu Stream at B1"
1997,15.40533,1.178,1.21,0.527178,0.706,"Priscu Stream at B1"
1998,14.10533,1.194,1.21,0.501707,0.716,"Priscu Stream at B1"
1999,8.60694,1.227,1.21,0.318614,0.729,"Priscu Stream at B1"
2000,4.42307,1.251,1.22,0.165709,0.744,"Priscu Stream at B1"
2001,96.18759,1.17,1.23,3.334965,0.752,"Priscu Stream at B1"
2002,19.79404,1.246,1.23,0.708553,0.757,"Priscu Stream at B1"
2003,35.63275,1.221,1.24,1.264951,0.759,"Priscu Stream at B1"
2004,12.63436,1.222,1.23,0.449903,0.753,"Priscu Stream at B1"
2005,23.39565,1.17,1.22,0.841221,0.743,"Priscu Stream at B1"
2006,39.76017,1.159,1.22,1.423886,0.73,"Priscu Stream at B1"
2007,11.90372,1.227,1.2,0.444652,0.716,"Priscu Stream at B1"
2008,70.0763,1.125,1.19,2.22848,0.702,"Priscu Stream at B1"
2009,4.58275,1.27,1.17,0.188205,0.69,"Priscu Stream at B1"
2010,19.11501,1.066,1.15,0.579088,0.679,"Priscu Stream at B1"
2011,0.00372,0.997,1.14,0.000117,0.669,"Priscu Stream at B1"
2012,0.00372,0.98,1.12,0.000115,0.659,"Priscu Stream at B1"
1984,6,10.98,10.9,1.65,1.94,"QS"
1985,7.67,10.63,10.7,1.93,1.95,"QS"
1986,6.72,10.64,10.6,1.79,1.95,"QS"
1987,8.43,10.12,10.5,2.13,1.96,"QS"
1988,9.32,10.04,10.4,2.19,1.97,"QS"
1989,7.1,10.48,10.3,1.79,1.98,"QS"
1990,6.61,10.54,10.3,1.68,2,"QS"
1991,4.41,10.94,10.2,1.22,1.99,"QS"
1992,6.12,10.72,10.1,1.55,1.95,"QS"
1993,5.3,11.46,10.1,1.24,1.92,"QS"
1994,3.92,11.29,10,1.04,1.89,"QS"
1995,6.99,10.54,10.1,1.67,1.88,"QS"
1996,7.51,10.61,10.2,1.65,1.91,"QS"
1997,5.19,10.97,10.3,1.37,1.97,"QS"
1998,7.1,11.03,10.5,1.62,1.99,"QS"
1999,5.52,10.94,10.6,1.53,1.97,"QS"
2000,8.1,10.28,10.7,1.95,1.94,"QS"
2001,5.17,11.25,10.7,1.41,1.92,"QS"
2002,9.74,10.19,10.7,2.27,1.93,"QS"
2003,6.72,10.78,10.7,1.73,1.93,"QS"
2004,11.94,9.86,10.7,2.43,1.9,"QS"
2005,8.23,10.56,10.7,1.91,1.89,"QS"
2006,9.36,9.88,10.7,2.33,1.88,"QS"
2007,5.54,10.97,10.7,1.56,1.89,"QS"
2008,6.04,11.17,10.9,1.62,1.93,"QS"
2009,7.26,10.84,11,1.98,1.98,"QS"
2010,10.99,10.37,11.2,2.71,2.03,"QS"
2011,14,9.79,11.4,3.47,2.09,"QS"
2012,12.91,10.26,11.6,3.37,2.14,"QS"
2013,14.26,10.4,11.8,3.65,2.19,"QS"
2014,11.31,11.04,12,3.21,2.24,"QS"
1993,12.36,21,19.5,5.96,6.14,"RI"
1994,7.92,25,19.6,4.92,6.21,"RI"
1995,12.91,20.7,19.7,6.02,6.3,"RI"
1996,16.02,19.4,19.8,6.52,6.4,"RI"
1997,14.84,19.1,19.9,6.78,6.51,"RI"
1998,15.7,20.1,20.1,6.76,6.65,"RI"
1999,14.92,20.2,20.5,6.97,6.87,"RI"
2000,15.85,19.7,20.6,7.53,7.11,"RI"
2001,10.68,22,20.3,6.22,7.25,"RI"
2002,14.11,19.9,20.1,7.16,7.36,"RI"
2003,11.69,21.6,20.2,6.3,7.48,"RI"
2004,17.44,19.4,20.2,8.13,7.54,"RI"
2005,15.37,19.6,20.3,7.74,7.49,"RI"
2006,15.75,19.2,20.2,8.23,7.48,"RI"
2007,10.59,21.6,20.3,6.38,7.46,"RI"
2008,13.38,20.9,20.3,7.24,7.52,"RI"
2009,14.79,19.7,20.5,8.19,7.67,"RI"
2011,17.04,19.9,20.6,9.02,7.89,"RI"
2012,21.11,18.2,20.7,10.8,7.99,"RI"
2013,18.11,19.4,20.8,9.65,8.1,"RI"
2014,14.2,20.6,20.9,8.34,8.21,"RI"
2015,10.15,22.7,21.1,6.51,8.32,"RI"
2016,13.79,20.7,21.3,8.17,8.43,"RI"
1999,498.9,3.78,2.55,37.5,91.6,"S65A"
2000,700.5,2.54,2.47,44.6,91.4,"S65A"
2001,349.3,3.17,2.4,38.3,91.7,"S65A"
2002,1281.5,2.01,2.33,115.8,91.9,"S65A"
2003,2349.3,2.04,2.26,184.4,91.9,"S65A"
2004,1248.6,1.98,2.19,112.9,91.6,"S65A"
2005,2432.1,2.03,2.11,193.6,90.5,"S65A"
2006,920.7,1.89,2.02,59.2,88.8,"S65A"
2007,95.5,2.54,1.95,10.8,86.6,"S65A"
2008,1016.2,1.77,1.88,88.5,83.7,"S65A"
2009,1194.9,1.73,1.82,87.2,80.7,"S65A"
2010,1171.1,1.82,1.77,38.6,78.2,"S65A"
2011,490.8,1.62,1.74,31.9,76.9,"S65A"
2012,1515.4,1.68,1.77,119.8,78.3,"S65A"
2013,1132,1.74,1.84,100.5,82.2,"S65A"
2014,952.6,1.82,1.9,73.8,86.4,"S65A"
2015,1845.9,1.94,1.97,120.4,90.8,"S65A"
2016,1820.1,2.06,2.06,126.1,95.7,"S65A"
2017,1100.5,2.14,2.15,119,101,"S65A"
2018,1407.1,2.26,2.25,157.2,106.8,"S65A"
1999,851,4.59,3.72,110.4,184,"S65D"
2000,1057,3.15,3.71,105.3,181,"S65D"
2001,560,7.21,3.7,89.8,179,"S65D"
2002,1891,3.05,3.69,253.3,177,"S65D"
2003,2541,2.87,3.69,247.5,175,"S65D"
2004,1571,2.94,3.69,177.7,173,"S65D"
2005,3117,2.96,3.72,339,170,"S65D"
2006,1291,2.75,3.74,110.7,168,"S65D"
2007,194,6.65,3.75,36.7,166,"S65D"
2008,1419,3.79,3.7,180.5,164,"S65D"
2009,1300,3.81,3.64,167.2,162,"S65D"
2010,1483,3.53,3.58,102,159,"S65D"
2011,588,3.67,3.53,68.7,158,"S65D"
2012,2094,2.69,3.53,208.4,161,"S65D"
2013,1819,3.03,3.58,237.1,166,"S65D"
2014,1354,3.2,3.65,165.8,171,"S65D"
2015,2291,3.01,3.73,215.5,177,"S65D"
2016,2518,3.22,3.82,255.6,183,"S65D"
2017,1876,3.07,3.92,244.5,189,"S65D"
2018,2013,3.26,4.04,281.3,196,"S65D"
1999,736,4.99,4.02,100,196,"S65E"
2000,990,3.24,3.94,107.4,192,"S65E"
2001,536,7.36,3.88,84.2,188,"S65E"
2002,1926,3.07,3.82,258.3,184,"S65E"
2003,3219,2.97,3.76,332.4,180,"S65E"
2004,1941,2.77,3.7,208.8,176,"S65E"
2005,3361,3.08,3.66,371.7,174,"S65E"
2006,1326,2.69,3.68,115.7,173,"S65E"
2007,157,8.33,3.69,27.1,171,"S65E"
2008,1380,3.45,3.69,183.1,170,"S65E"
2009,1187,3.58,3.72,158.2,169,"S65E"
2010,1377,3.54,3.73,94.7,166,"S65E"
2011,455,3.88,3.74,57.2,164,"S65E"
2012,2059,2.73,3.77,213,167,"S65E"
2013,1803,3.19,3.82,243.9,172,"S65E"
2014,1289,3.39,3.9,164.4,177,"S65E"
2015,2132,3.05,3.99,205.8,183,"S65E"
2016,2445,3.29,4.08,247.1,188,"S65E"
2017,1716,3.24,4.18,244,195,"S65E"
2018,2111,3.35,4.29,300.4,201,"S65E"
1999,385.9,1.28,1.48,15.3,63.4,"S65"
2000,754.3,1.62,1.49,36.8,65.4,"S65"
2001,214.8,1.2,1.5,16.96,67.4,"S65"
2002,1224.6,1.56,1.5,90.14,69.2,"S65"
2003,2339.8,1.7,1.51,162.94,70.7,"S65"
2004,1290.9,1.59,1.52,100.99,72.2,"S65"
2005,2480.6,1.81,1.52,175.07,72,"S65"
2006,952.1,1.52,1.48,51.68,69.3,"S65"
2007,93.4,1.19,1.42,7.34,65.6,"S65"
2008,853.1,1.28,1.36,54.36,60.9,"S65"
2009,1095.4,1.23,1.29,61.48,56,"S65"
2010,1279.9,1.18,1.23,28.05,52.2,"S65"
2011,498.9,1.18,1.21,21.13,50.2,"S65"
2012,1236.3,1.25,1.24,64.56,52.1,"S65"
2013,938.8,1.3,1.32,63.2,56.2,"S65"
2014,877.5,1.41,1.41,49.33,60.7,"S65"
2015,1682.6,1.55,1.51,80.13,65.2,"S65"
2016,1489.5,1.66,1.63,81.21,70.5,"S65"
2017,1132.2,1.86,1.76,104.84,76.6,"S65"
2018,1420,2,1.91,134.54,83.5,"S65"
1999,927.6,2.31,2.33,44.89,35.5,"SADDLE STREAM 007"
2000,731.8,2.31,2.5,33.44,38.7,"SADDLE STREAM 007"
2001,480.4,2.53,2.59,26.89,40.2,"SADDLE STREAM 007"
2002,43.4,2.66,2.71,1.56,42.4,"SADDLE STREAM 007"
2003,846.5,2.82,2.81,57.07,44.3,"SADDLE STREAM 007"
2004,353.5,2.88,2.92,31.14,47,"SADDLE STREAM 007"
2005,564.2,2.8,2.94,38.4,48.7,"SADDLE STREAM 007"
2006,776.7,2.79,2.9,52.73,46.4,"SADDLE STREAM 007"
2007,702.1,2.56,2.94,46.43,43.4,"SADDLE STREAM 007"
2008,526.7,3.03,3.13,42.16,43.1,"SADDLE STREAM 007"
2009,649.7,2.93,3.34,48.35,43.1,"SADDLE STREAM 007"
2010,565,3.62,3.66,36.91,45.6,"SADDLE STREAM 007"
2011,957.7,3.83,4.1,97.68,50.2,"SADDLE STREAM 007"
2012,89.5,5.98,4.73,10.48,57.7,"SADDLE STREAM 007"
2013,549.6,4.97,5.24,53.79,63.1,"SADDLE STREAM 007"
2014,903.5,5.13,5.81,109.82,69,"SADDLE STREAM 007"
2015,852.3,6.36,6.42,111.58,75.4,"SADDLE STREAM 007"
2016,483.7,7.65,7.15,74.39,83.6,"SADDLE STREAM 007"
2017,668.7,7.63,7.79,115.13,89.5,"SADDLE STREAM 007"
2018,349.2,9.96,8.58,39.17,96.9,"SADDLE STREAM 007"
1997,2174,2.68,3.06,196.5,468,"SG16.2C"
1998,5763,3.44,3.14,672.8,476,"SG16.2C"
1999,3791,3.27,3.22,416.4,484,"SG16.2C"
2000,1230,2.75,3.3,122,491,"SG16.2C"
2001,3625,3.35,3.36,416,496,"SG16.2C"
2002,6127,3.8,3.41,742.6,501,"SG16.2C"
2003,1879,3.21,3.43,203.7,505,"SG16.2C"
2004,3650,3.59,3.43,435.7,506,"SG16.2C"
2005,5073,3.25,3.46,665.1,505,"SG16.2C"
2006,1785,3.07,3.48,175.2,504,"SG16.2C"
